text,gender
"             Well I am all packed and ready to head out tomorrow morning.  I'm not sure how often, if ever I will update on this trip, but here is what I am going to be doing the next week.  Monday:  Fly into San Diego and then on to  urlLink The Reagan Presidential Library .  That night I will be back in San Diego for a Padres game at PETCO Park.  Tuesday:  Yosemite National Park.  The first day I will attempt to hike up to the top of Half Dome, the most visible structure in Yosemite.  The last 900 feet you must use cables to pull yourself up.  Lets hope I make this hike in one piece.  Wednesday:  More Yosemite with many smaller hikes in store.  Thursday:  More hiking and taking in the beauty of the park.  Friday:  Leave Yosemite and head for L.A. to see  urlLink President Bill Clinton  and get a book signed.  Never thought I would waste my time and do this, but how often to you get to meet a former president?  After meeting Bill, it is on to San Clemente to meet my folks.  Saturday, Sunday:  Spend some time on the beach, do a little reading, and do some relaxing.    Monday:  Catch a flight back to DFW, and do laundry for two days before I turn around and head to Mount Rushmore.  So lots to see in a weeks time but it should be fun.  To the three or four people who read this, I'll see you next week!         ",male
"       Bueller ... Bueller ... Anyone ??? 11PM EDT, 10PM CDT, 9PM MDT, 8PM PDT ... And 5AM CET         ",male
           Well yoga has all different levels. From begininger to advanced. I guess when you start it you would feel silly becaause you aren't flexible but I guess the more you practise the easier you will find it to relax and once you relax the eaiser it wiwll be to become more flexible. And at the same time it improves your daily mood and way of dealing with things. :) Good way to chill out too. I'd like to try it actually although i know I said to Tom its silly but I have changed my mind. LOL.         ,male
"            urlLink    renfu, jr&nbsp; urlLink            ",male
"       I'm really happy,(if you couldn't tell from the title). I just got back from a date w/ dustin. I got to show him off to my friends at the movie club; and from the last entry, it was ok w/ him that I didn't meet him for lunch. I just disappointed him a bit. Well we went and saw 'dodge ball'. It was pretty funny, but I really didn't care for it that much. Yeah well that's all for now. Later.         ",female
        A reveiw completely blasting the physics of the movie  The Core  out of the water.   a few quotes from it: 'It's the  worst physics movie...ever....' '...the movie's heroes are at least 335 bombs short....' 'It's hard to poke fun at a movie which unintentionally trashes itself.'      ,male
       'Internalizing the lyrics proves more damaging than the act of stealing it'         urlLink ...and a justification of illegal downloads of hip-hop based on conspicuous consumption...     ,male
"             Smile..         Smile - Pearl Jam   don't it make you smile? don't it make you smile? when the sun don't shine? (shine at all) don't it make you smile?  don't it make you smile? don't it make me smile? when the sun don't shine, it don't shine at all don't it make me smile?  i miss you already... i miss you always i miss you already... i miss you all day this is how i feel...  i miss you already... i miss you always three crooked hearts and swirls all around... i miss you all day       ===========================================     Well its always good to start ur day with a smile, coz it'll set the trend for the rest of the day. Anyways yesterday was me dad's 55th birthday. All the family gathered at midnight and gave him a cake and i bought him a nice pair of timberland sandals.        Happy birthday abah..      My dad is not the type that is affectionate unlike my mom. But sometimes he does have his moments. He can be blunt at times but i know he means well. Anyways just wanted to say i love u abah..     ",male
"       So, work today it kinda went fast!  Great.  But it still sucked cause i had to medialog all day which was mindnumbing to say the least.  And yesterday I had to factcheck all this stuff and put it in a binder and it took hours.  I did it PERFECTLY but wouldnt you know it John comes up stairs and says hey Nic I gotta talk to you. Sos Im like shit.So i explained to him exactly what I did and he said hmm, thats right. But i reminded him that I had the intern help me out on the last part of it cause Rob Smart had me do some crucial medialogging for MJ12 so I passed it off to FAGGOT Ken's lil puppet Jason. Hes actually pretty cool though.  Turns out he did it right too so who is to blame.  PROBABLY RICK but he wont admit to that cause his head is actually a penis. Ill get more into that later on in my blog.  But my hands hurt. So anyways, I gotta learn how to put pictures up on here.  thatd be fun. Anywho, tell me if your reading this! Peace and lovely!         ",male
"        &emailalert=no&email=adgrant@indiana.edu&url=http://closeproximity.blogspot.com&name=Proximity&bgcolor=003399&fcolor=FFFFFF&link=FFFFCC&words=comments&title=Comments &width=350&height=350'>   Film Wise is one of my favorite places to take movie visual quizzes.  urlLink This one  tests your knowledge of movie stills with subtitles. Guess which movies these are from; I'm sure you'll do a whole lot better than I did, only 8 out of 20. Pretty sad. Once you look at the answers, you'll probably be all 'Eureka!!!' like me. Or not. Maybe I'm the only weird one that gets amped about movie quizzes.          ",female
"           Sunday sunday sunday.  Both craig and I are working-- him at the hospital-- me at home, studying stupid criminal law.  UGH.  And its so nice out too.  But hopefully he will get out soon-- and we can go to bloomingdales!  I bought two dresses yesterday-- on sale-- for graduation/scott's wedding.  both of which are super cute, and super on sale.  I tried them on for craiggy and he liked them too.  so I waslooking at them last night, and both of them have spots on them. . . what the hell? so now I have to return them today and hopefully they will have another in my size.  GRRR. Last night (or this morning, I am not sure) I had a dream where it was supposed to be like that day after tommorrow movie-- there was this big hole in the ground-- and it was going to collapse and the earth was goign to be swallowed.  It was a weird dream because all of the other people in the dream (my friends and family) were the cast of the t.v. show ER.  and another thing wierd was that there were these snakes and one had bitten me in the groin region-- wouldn't let go-- and it hurt so bad and nobody would take me to the hospital. my dreams keep getting more unrestful and scary as the days go on. sigh.         ",female
"       Somewhere far across the savagery of loneliness Deeply nested in my heart now as empty as the desert I hear a song the I sang an eon ago something that made me fall in love.  Thoughts that may never go, to leave me in sanity For these thoughts are mine and i am habituated The terminal feeling of loneliness that has been a company all along this far.  I fear  a change for I find comfort in discomfort for i know its extent I take a deep breath each time and sigh Each time love passes me by.  All i know is all I've known The madness of loving that made me pay I smiled when I paid those dues last yuletide For I lost all love when I lost my love.  I know I am a damned to a life of eternal lonliness I still like a fool watch the roads I walked Amongst the valleys and mountain side For I still carry hope deep in my heart... somewhere   (C) Copyright Ritesh Nair 2004     ",male
    On Bryan II   he's a needle he's only been a tool he's only been something to do he's only fulfilling your intentions of breing forever the world's pin cushion. ,female
           blog god damn it !         ,male
"       I did not think it would ever happen, but it did….  YOU GOT IN MY BUBBLE?????  I am a weird bubble person…. I have the bubble….          ",female
"       This is Jessica, Lil D's older sister. I'm setting up her blog. So enjoy!!!         ",female
"             Just a warning.   A mixture of the following products in a bathing/grooming situation culminates in an (apparently) unpleasant result:  Zest 'Spring Blast' soap, Suave Naturals 'Ocean Breeze' shampoo, Colgate 'Aloe' shaving cream, AXE 'Phoenix' deodorant, and Curve cologne.  I originally went with option #4 last night, but boredom and an itch to get out of the house led to option #3.    At the bar, before the place got packed and wild, I made friends (due to my basket of fries) with an 'older woman' (maybe late 20s) named Jackie.  We made small talk until her friend returned from the bathroom.  Her friend sat down behind me, and without even a 'hello,' proceeded to wrinkle her nose and tell me, 'you smell like  weed , boy.'  WTF??  (I do hereby solemnly swear that I've never engaged in illegal drug use of any kind.  I don't even take whole doses of over-the-counter or prescription medication.)          ",male
"       Hmmm.  Interesting indeed.  Okay, who in this situation am I?  ET or Elliot?  Probably not Drew Barrymore, probably not the older brother.  It's been about 15 years since I put myself through the agony of watching this; I'm not planning on watching it anytime soon.  I remember going to see this with Kate and our cousin Karen.  I vividly remember Kate sobbing in the ladies room at Eastland Theater 'Why did ET have to go home?!?!?'  As far as alien movies go, I prefer 'Close Encounters of the Third Kind.'    E.T.!    urlLink   What movie Do you Belong in?(many different outcomes!)     brought to you by  urlLink Quizilla            ",female
"             Yes, it's love actually. When I think of Todd, when I see his picture, when I talk to him. It's love. Pure and simple.          ",female
"        urlLink Click Me   N.B. You must save as, other wise it won't work.  P.S. Not for those with weak stomachs.         ",male
"       You knows it.  I missed GoldieLookinChain at Glastonbury, which is a shame, because they were apparently very funny.         ",male
"       First of all, I'd like to send all of my love to you all.  Second of all, I am typing correctly.  Third of all, I want food from the Olive Garden to be in my belly so very, very much.  jen         ",female
"                 I got up today twice - felt so rough this morning , went straight back to bed for several hours.&nbsp; Bliss.  It's only now that I am contemplating getting dressed .&nbsp; A slut or what?        ",female
"           Its 4:35 Am and am just done with the new comments box. Also was able to edit its color scheme not sure if this one is any better(comments please)And also I think I need to reduce the font size of my posts what you guys say? Ok so day ended up with one good news  urlLink Maria Sharapova  won :D (also I got my salary, its party time ;)), Although I couldn’t watch the match. I was in office waiting for my friend to get done with his work  so I could get ride for home, finally did at 8:30. But I managed to check live score on Wimbledon’s official site. It was a goooood match shouldn’t have missed but am used to miss good things in life. Anyhow time to sleep now, I am sure I will be having a nasty headache in morning God help me!!!!  Damn KESC voltage is fluctuating and my PC’s UPS isn’t working either.  PS: Because of the new comments box your old comments are missing I will try to put those in new system, till then have fun with this one. Its 5:00 AM now         ",male
"       If you email your blog in it will post it to the blogger site but the blog won't be published until someone actually goes to the site and publishes a blog. At least you can get you thoughts out there and it will be published next time anyone blogs online.  Mungo, your first blog via email didn't show up and I tried to edit it to get it to publish (before I knew what I was doing). You should go and edit it so it will show under your name and not mine. Sorry about that.  Okay, email bloggies are working.  ST         ",male
"       Just found this on a friend's blog (also in Korea):   'You see, it was just the other day that I found out that my girlfriend of one month has had another boyfriend for the past year.  If me being emotional is unjustified now, then when is it ever?  '   What's wrong with these people? I'm getting Kim Jong-Il on the phone after work and telling him to send his nukes down here ASAP.          ",male
"           From the last time I blogged things have gone up.  My back does not hurt anymore, the biggest plus ever.  My little ER visit in Hawaii cost is around $700+, thanks Queens Medical Center!  The bigger focus of my life is that fun job hunt.  I've been working on the sub teaching application for about 5 days now and its a slow process.  Finally got rid of the feeling that I am in some type of moving vehicle, Jen knows what I am talking about.  Being on vacation for the time I was had the whole mixed blessing/curse thing going.  Hope all the rest of you are well!  Thanks for all the comments and concern.         ",female
"         helluva busy this past few days... stupid designs just can't finish... abit low batt in office too...    my colleague just 'how lian' to me before knocking off that due to his work commitment and numerous major projects he handle, he'll get a pay rise from 1.9k to 3K??? fuck, i mean how the hell is it possible??? yes, after 5mins of shock, i slapped my own forehead, remembering that one of my boss is his cousin... fuck him, work for more than a decade and can 'how lian' to me he earning 3k, if i were to work 10yrs to get 3K, i would rather become a drug smuggler.... gimme a break and fuck off pleassseeee....   that signals for the mid year appraisal + increment + bonus.... don't know how would the bloody S.O.B. manager judge me.... work so hard... crack the head... kena all the arrows... just to hope for more money in return, sometimes i find that hard to swallow... but anyhow, we gotta work hard to pursue our dreams... and i believe someday i would be able to live my dreams...   did back at the gym today... 10 sets of 10 of barbell rows again...plus pull ups of 5 sets to failure...aaahhhhhhhhhhhhhhhhhhh... my back is tearing!!!!!!!!   tomoro shall be able to finish my project, haiz...whole bloody brain is full of the project crap...just sick...   ah, my favourite shoulders' day falls on tomoro!!hahahaha... may god have mercy on my delts and traps, cos i sure won't.      ",male
"            We Built This City   Starship just came on the radio.  Did I ever mention I saw them live 2 summers ago?  (Don't laugh.)  One of the best times EVER.  'Fish Days' in Port Washington, WI = bad battered cod, cheap beer, sunburnt rednecks, and 80s rock.  'Sconie at its finest.         ",male
"       hey all, Im currently working TINT its a magazine for creative people, becomeing a lengthy task, probably wont be ready to distribute til late november or dec. Im also working with my friend Keith to release the next installed of  urlLink RASTER  and tomorrow morning im heading off to  urlLink DIGIT  , should be a good expo, i will take pics and write more on it later.         ",male
"           So you went home even though you weren't ill? ---------------------------------------------------------------------------------------  My head feels funny tonight. Lightheaded perhaps? Dizzy even? Not entirely sure. Maybe I should eat some more. I got a strange head yes I do, I got a strange head how about you? SIMPLE IRESITABLE. And I don't care if that is spelt wrong!!!!!!! Waaaaaaahoo! I get to go to el Norfolko to stay with my Auntie who is my godmother. I love her house and where she lives. Its soooooooooooooo nice!!!!!!         ",male
"           blogger.com has updated its site layout, so I've followed suit & changed our layout  Sinnerbit         ",male
"           Dude, you just posted the lyrics to an Air Supply song.    FAG!!!   But seriously, I thought I was the only cheese-eating ballad lover around here.  I was listening to 'All Out of Love' on the way to work this morning, and I've decided that it's one of the best songs, like, ever.         ",female
"       Interesting site, talks about standard parameter names for forms  urlLink IETF ECML (Electronic Commerce Modelling Language).          ",male
        http://www.crossville-chronicle.com/Chronicle/Opinion/alan060204.html          ,female
"           I've recently applied for a job that would be perfect for me. I mean, you couldn't design a position more well-suited to a person with my background. It is a job at the Getty in the publications department. I would be preparing the guides and brochures for the newly restored Getty Villa in Malibu, which will house the Getty's Greek and Roman antiquities. If you know me, you know that I am all about Greek and Roman archaeology and publishing. But how do I go about making myself stand out in the crowd of applicants when they provide you with nothing more than a general HR email address, a snail-mail address, and a emphatic 'No phone calls, please' on the web site? Suggestions?         ",male
"           Hey Nicki! I had a fab time in the Lake District, was absolutely wonderful! ONly problem was if you happen to fall out of your canoe (as I did a couple of times) it's blooooody cold. But yeah we had an absolute riot. Lost a canoe on the road, someone left half our food at home, singed a couple of eyebrows................         ",male
              urlLink create your own visited states map          ,male
       blahhh         ,male
        urlLink    I'll grow into these ears soon.&nbsp; urlLink            ,male
"           I went digging through my old blogs... located everywhere and anywhere.  I knew I wrote so much, yet I never put them in my journal.  For now, I'll have to post it here..   'Romance is the possibility of love, just like words are the possibility of poetry...'    (-Darius Lovehall, Love Jones)             ",female
             Chris in MySQL uc2004 ...   urlLink /.ted            ,male
"           First of all, praise to all of you who went to see harry potter, my respect for you is boundless.  It's interesting to hear the feedback from the movies, so no one else was disappointed that it didn't show Gryffindor winning the Quidditch cup....I was im not going to lie about it.  Yeah Yeah, the movie couldn't be that long....but why not?  Anyone who goes to see the movie most likely has some interest in the book so they will not mind staying in the theatre an extra half hour to see some vital parts of the book. I am not saying I didn't enjoy the movie-it was quality, I am just saying I stayed up till 3:30 to see a movie and it didn't even have quite possibly one of the most important parts of the book in it.  So ya, enough about that. Now that thats over with, I would like to give a shout out to Ryan Vasbinder for his stunningly real portrayal of Alph, the TV icon, in the late 80's and early 90's.         ",male
"                 I have no idea who this is, but he appears to have affection for his Christmas tree and Gatorade.         ",female
                                   Pictures by Paul Manahan of Klub 102   urlLink MORE PICS                   ,female
"           Hello!  I arrived at the University of Massachusetts Dartmouth on Sunday night and am enjoying a new climate, new colleagues and new sights.  Since Thomas asked about summer reading, I thought I would answer.  Mr. Wargo and Mrs. Grey-Hatton will be teaching the senior AP classes next year.  They have not assigned you any summer reading.  However, take advantage of your freedom and free time this summer and read on your own.  Your primary focus next year will be British literature and poetry.  Perhaps this summer you can indulge yourself in more modern fiction.  You might want to focus on prize-winning book lists like Pulitzer Prize winning novels or Booker Prize winners.  Or focus on modern writers from around the world.  Another option to consider is set yourself up with a book list of classics, because I guarantee you that you'll be in lit classes in college and wish you'd taken better advantage of your free time as people allude to books and authors you've heard of (maybe) but don't really know.  A few books I'd recommend?  Reading Lolita in Tehran The God of Small Things Persopolis Love in the Time of Cholera Anything by Dostoevsky, Chekhov, Ibsen, Woolf, Hardy, Neruda Red Azalea Germinal  Have fun reading, be safe, and have a happy summer!  Mrs. V-A         ",male
"                 Mary received&nbsp;a call from Mayor Tom Barrett today inviting us to see John Edwards in Milwaukee this Satuday, July 24th.   Free tickets are available&nbsp; through the following link:    urlLink Tickets: Edwards Rally Milwaukee, WI   The event will be held at King Park, 1531 W. Vliet Street .&nbsp; Gates open at 10:00 A.M.&nbsp;   Because of security, no bags, umbrellas, or outside signs will be allowed. Please limit personal items. This event will take place RAIN OR SHINE.   Hope to see you all there.   Jim                  ",male
"       Hi folks, just made a few formatting changes to the blog, and I'm testing them.  Posts might have titles now, for instance.  Maybe later I'll do a longer one about exclusivism/pluralism (as a Christian theological issue--in other words, is Christianity THE way or A way?).    ",male
"           Hi, I am trying for the third time to post a blog.  I am feeling very incompetent.  Of course, this will end up being the one to post because it sounds ridiculous.         ",male
"             I'm not a big fan of these types of movies. But, I'm growing to like them more and more. This one was entertaining. I liked it better than the first. I enjoyed the way the movie makes fun of comic books. There were a few little symbolic things that I like to look out for. For example, notice at the end of the movie when Peter's buddy throws the knife through the mirror. Then notice as he's making his way back to the secret room he has to swipe away a spider's web. Hmmmmm. Anyway, I liked it. Ryan and I had a good time. She and I will have even a better time at Simon and Garfunkel tomorrow night.         ",male
"           Well today morning someone asked me if they could access Microsoft newsgroups over Lotus Notes 5. Logically, there should be a way to access any newsgroup given NNTP is an standard and a very old protocol (giving enough time for implementation by various vendors). A little digging and here are the results of the same:  Lotus Notes 5 has support for accessing newsgroups. Earlier versions of Lotus seems to have only support for newsgroups hosted on Domino servers..   I found information at  urlLink The only information that you really have to enter is a friendly account name, which you determine for your own use, plus the server name (msnews.microsoft.com) and a protocol -- in this case, NNTP. Then, you save the account document and Notes adds a bookmark to your client. With Notes R5, the former Notes workspace is replaced by bookmarks, which provide a much faster way for getting to and managing information on desktops and the Internet. Once you click on your new NNTP bookmark, you can select from a list of newsgroups published by the server administrator, and you're on!  urlLink           ",male
"                  *** Sign Me Up!   I have decided to join the circus. Kind of. I'm going to try to get a job selling tickets for the circus. The upscale $100-a-head circus named 'Teatro Zinzanni.' I'll apply, they'll muse over my application, then they will not call me. But I am making the effort! It's their loss if they don't want my freaky self working for them. My new year's resolution is to find a job in the city. Certain things are going great: new year, new apartment, new boytoy. Now, for an occupational change. Any suggestions?             ",female
"           Congratulations James! Eleanor is beautiful and you look like a happy and healthy family! My best wishes to you and the girls!  If anyone wants to see some pics from Korea, here you go:    urlLink http://groups.msn.com/carolinescapturedlife/shoebox.msnw   Hope everyone is keeping well!           ",female
       Get your Ramones name  urlLink here . I think this is the dumbest name generator ever.         ,male
"           Yelahneb - Translating a text is like hiking Yellowstone.  Someone has already been there, but the work it takes to get there yourself, and to see the result with your own unique eyes, is the true reason to go.  Otherwise, one would be content looking at films, photographs, and reading accounts of what others have seen.         ",male
            omgsh.. didcha read de entrii b4? wasnt it lyk.. ah d/w. was dah.. gr8 4 sum reason i duno wat to type now.. wah wastd all de typin on de entrii b4? I DUN FINK SO. ima still typin.. and typin and typin...bac to abou dah GURL. yeh dah was mean of me den. buh wah. ok ANOTHR topic dis is so GAY. omgsh. -- im goin bac to work..           ,female
"                 My server at Cybexhost experienced a breif downtime.. Brief enough for my friend  urlLink Han Jen  to notice and SMS me! Lol... Actually, they're moving servers and I hope its for the better! :P  All is well now.  I just went to the dentist just now, and did scaling.. My teeth are still abit yellow, but its an improvement. Dad did scaling. Now parents doing gardening, i'm out, gonna have dinner soon before dad and mum goes to granny's to collect durian while I study for the Math test tomorrow.  Life's great, as usual.. Check out the  urlLink my website, piptech.org  and of course,  urlLink Radiance's Blog . Vivi's blog is a tad too tough, but it should be somthing xanga something vivicious :P ask her!             ",male
   Tired of Spam? How about ad-ware or spy-ware?    I thought this was an interesting read on one of the problems associated with using a computer on the internet.     urlLink Wired News  ,male
"       It's Wednesday, and you know what that means---public service project time! This one is right down my lane, in keeping with my automotive outlook on life.  According to  urlLink this article , the Japanese are working on a car that can express emotions:   Four inventors working for Toyota in Japan have won a patent for a car that they say can help drivers communicate better by glaring angrily at another car cutting through traffic as well as appear to cry, laugh, wink or just look around.  I think it would be a big help to those Japanese inventors if we were to suggest what emotions we would want our cars to express and how those emotions might be displayed. They might not have thought of all the possibilities, you see? Anyone?         ",male
"       I just submitted RW and a bunch of individual blogs to the Internet Archive for crawling and saving.  This is an ambitious project (with mixed results) to archive the whole freaking web at various points in time...it's like mega terrabytes of data and it's all well protected and regularly migrated as well as copied and kept in different countries around the world.  So in a thousand years or so, when researchers are looking at how people used to practice the Cincinnati Steamer at the dawn of the 21st century, Belle will get proper credit for practically inventing it.  And Boz will be rightfully worshipped as a God. And I will go down in history as the first Amish blogger.         ",female
"           actualy that is a realy good CD, i also have it (and have had it for a while). the single 'take me out' is realy good, and no tuck your not the only one who knows of them. blah, um... yeah, i still want a kit kat bar, i saw one in the superfresh, but i didnt have anymoney and my mum wouldnt let me buy it grr.          ",male
"           You have to upload the picture to the internet. Use  urlLink snooboo.com Files  (login at the bottom) to upload your picture, then use this HTML in the blog...  &lt;img src=&quot;http://files.snooboo.com/[picture name goes here].jpg&quot; alt=&quot;Picture Name/Description&quot;&gt;          ",male
"           I've had difficulty posting the latest edition, my manditory Anime Convention post. Hopefully this will follow it.  Problems probably arose when having the window open for like two days and then finally submitting it. Strange part was that the site saw it, but never published it. I, hopefully, have just remedied that.   Also just to throw out to the masses, I have a radio show on thursdays you should listen to it, if you'd like to be called friends I mean. It's thursday mornings from 6-8am. Early yes i know, but if you're a worker bee like me, 6-8 actually works well, I'd either be waking up or driving to work and if i could get it on the radio i'd listen. It's a soul and funk show, and yes, while being White, it has the slant of someone who either doesn't know what they're doing, or at least, is experimenting with some sort of genetic memory to my distant background as a plantation/slave owner, coupled with my anti-establishment 'fight the man' persona, it makes for an interesting bipolar show.  I think i'm kidding for most everything i just said.         ",male
"           I was looking my blog just right now and it looks like I haven't blogged since this morning.&nbsp; Well, I need to fix that.&nbsp; I also entered a poem-making contest but when I tried to submit the poem, the web server crashed so I lost my poem.&nbsp; I was a bit mad.&nbsp; That poem took me the better part of the morning.&nbsp; I'm so tired right now.&nbsp; I have not very much work to do here, but there's ton of stuff I want to do when I get home today.&nbsp; I want to play with my kids, do yoga, work on my portfolio and do some other stuff.&nbsp; This is a boring entry.&nbsp; But I guess the boring entry mirrors my boring life.          ",male
"       I have now sunk to the lowest possible level. I have a blog.     I knew I'd get around to it sooner or later, but it seems that it is the  ultimate  expression of nerdom.  I will be using this spot to be as direct and possibly offensive as possible on whatever happens to piss me off at a particular time.  I may even choose to highlight the rare things that  don't  piss me off as well.     Or not.  Thanks for stopping by!     ",male
"             From:  Margo   Date: May 14, 2004 02:40 AM  Subject: thanks  Body: I saw your blog...took me a long time to figure it out though... stupid ba? I wrote you something din...kanina lang actually...di ko naman alam kung saan ko i-se-send...kung email/friendster/myspace (baka naka-block)...              ",female
"       Slug boy got kicked to the curb again last night.&nbsp;  I had a semi-bad day and was going to skip swimming (maybe).&nbsp; Charles came over like 10 minutes after I got home without calling, empty handed except for the Sonic cup he was drinking (where the hell is mine).&nbsp; Aside from a hug and kiss when he came in (initiated by me of course), no other affection was shown and I really didn't know what the hell he was doing there.&nbsp;  He asked what I was doing and I said I had just got home and was watching&nbsp;Green Acres.&nbsp;&nbsp;Duh, I'm&nbsp;still in a suit and the TV is on.&nbsp; He didn't say anything else so I went back to the couch and he followed, sitting a few feet away.  No hand holding, no kissing, nada.&nbsp; He would just ask every few minutes what I was doing.&nbsp; (Duh!!)  I finally asked why he was there and he said I had a bad day so he came over.&nbsp; (And????&nbsp; Did he offer a massage, going out to dinner, anything????).  I was bored.&nbsp; I definitely wasn't going to entertain him.&nbsp; Apparetnly that's what's expected.  He fell asleep.&nbsp; I got up and did laundry and the dishes. him snoring the whole time.&nbsp;  I finally went over, kicked him awake and told him he needed to go.   Haven't heard anything.&nbsp; definitely not calling him.&nbsp; Will he contact me?&nbsp; Do I care?  Let the wagering begin!            ",female
"             my quiz results: hehe      You have an entrancing kiss~ the kind that leaves your partner bedazzled and maybe even feeling he/she is dreaming.  Quite effective; the kiss that never lessens and always blows your partner away like the first time.    urlLink   What kind of kiss are you?     brought to you by  urlLink Quizilla        -Sensitive- You're Sensitive, and you'd like to stay that way. Sorry,listened to a bit too much Jewel there. You're sweet and very emotionally charged. You definitely love the person you're with, and always want to know how they're feeling so you can make sure they're happy.    urlLink   What Kind of Girlfriend Are You?     brought to you by  urlLink Quizilla       You're the cheerful smile,the one that's truly happy with almost everything you do and would never cahnge your life.    urlLink   What Kind of Smile are You?     brought to you by  urlLink Quizilla             ",female
           who in the hell is we?  why do you refer to yourself in the way of royalty?         ,male
"       It's interesting, all the nuances of an economy.  I've been watching it for a while, considering that I've been not quite struggling to maintain a living and a life due to the rapidly increasing price of goods vs my wage growth.  We've got a problem on our hands, that lowering taxes isn't going to address.    On another note, my neighbor must be out of jail, because there's an increase in drug traffic past my house.  I've decided to write down licenses and take digital pictures, along with time/date stamp.  I am trying to prevent a repeat of last year when my house got robbed.    ",female
        urlLink    the grand canyon IS quite grand.           ,female
