text,author
"Descending to Elwood's room he roused his still sleeping host and began telling of how he had found himself, but Elwood could form no idea of what might really have happened.",1
So I was entirely thrown upon my own resourses.,2
"I was greatly and immediately relieved, however, when I saw the lady merely hand the gentleman a play bill, without speaking, but the reader may form some feeble conception of my astonishment of my profound amazement my delirious bewilderment of heart and soul when, instantly afterward, having again glanced furtively around, she allowed her bright eyes to set fully and steadily upon my own, and then, with a faint smile, disclosing a bright line of her pearly teeth, made two distinct, pointed, and unequivocal affirmative inclinations of the head.",0
"I merely wish you to bear in mind that, with myself, it was sufficiently forcible to give a definite form a certain tendency to my inquiries in the chamber.",0
"It is painful, I allow, destructive, impracticable.",2
"And quivering awhile among the draperies of the room, it at length rested in full view upon the surface of the door of brass.",0
"The riots, the combat, the massacre, were the actual events of the insurrection of Cheyte Sing, which took place in , when Hastings was put in imminent peril of his life.",0
"It appeared to me indeed I was quite confident of the fact I could not be mistaken no I had, for some moments, carefully and anxiously observed the motions of my Diana I say that I could not be mistaken Diana smelt a rat At once I called Pompey's attention to the subject, and he he agreed with me.",0
Victims had been in immediate demand.,0
How would such a friend repair the faults of your poor brother I am too ardent in execution and too impatient of difficulties.,2
"Then came the storm of April nd, and a gathering of the clouds about his consciousness.",1
"All the phrases did not fit, as we say in the Anglo Saxon.",0
I will not describe the city of Edinburgh.,0
No distinct ideas occupied my mind; all was confused.,2
"We knew that there was scarcely a chance for anything like complete success, and could not avoid hideous fears at possible grotesque results of partial animation.",1
Let us lament over and assist the children of the garden of the earth.,2
"But, at this period, the whole scheme of my existence was about to change.",2
"I fairly shouted with terror, and made off, at a tangent, into the farthest extremity of the room.",0
"On returning through the lane, I saw at a distance the same assemblage of persons which I had left.",2
"After feeling the pulse and applying a mirror to the lips, he requested me to speak to the sleep waker again.",0
"Reason, logic, and normal ideas of motivation stood confounded.",1
"From such scenes I have sometimes saved a deserted infant sometimes led a young and grieving mother from the lifeless image of her first born, or drawn the sturdy labourer from childish weeping over his extinct family.",2
"At length, with a deep sigh, he exclaimed, as if in a soliloquy, ""And dis all cum ob de goole bug de putty goole bug de poor little goole bug, what I boosed in dat sabage kind ob style Aint you shamed ob yourself, nigger?",0
In the meantime let us survey this image.,0
"I judge from this circumstance, as well as from an air of exhaustion in the countenance of my friend, that he had not retired to bed during the whole of the preceding night.",0
"brought up close to his body and tightly compressed between his body and the side of the Automaton, or else to use his left arm brought across his breast.",0
"Yet it is in your power to recompense me, and deliver them from an evil which it only remains for you to make so great, that not only you and your family, but thousands of others, shall be swallowed up in the whirlwinds of its rage.",2
"That party, however, could hardly yet be considered a minority in the kingdom, who extolled the ornament of the column, ""the Corinthian capital of polished society;"" they appealed to prejudices without number, to old attachments and young hopes; to the expectation of thousands who might one day become peers; they set up as a scarecrow, the spectre of all that was sordid, mechanic and base in the commercial republics.",2
"Ashy pale, Raymond and Perdita sat apart, looking on with sad smiles.",2
"The growing shadow rose and rose, filling, and then seeming to endeavour to burst beyond, the adamantine vault that bent over, sustaining and enclosing the world.",2
Wyatt's party arrived in about ten minutes after myself.,0
And yet you are still unhappy and still avoid our society.,2
"There had been a strange kidnapping the night before in Orne's Gangway, and the two year old child of a clod like laundry worker named Anastasia Wolejko had completely vanished from sight.",1
"It will be thought that I should have entered more minutely, into the details of an occurrence by which and this is very true much new light might be thrown upon a highly interesting branch of physical philosophy.",0
"And when the moon came out at last Atal was safe on the lower snows of the mountain without sight of earth's gods, or of the other gods.",1
"""But how with a gang?",0
"We have then the primitive arrangement of the earth's surface adapted to his blissful estate, as not existent but designed.",0
His depression and anxiety fled; he became all life and activity.,2
"Several weeks had elapsed since the festival of the anniversary, and she had been unable to calm her mind, or to subdue her thoughts to any regular train.",2
"As I mentioned the word ""remuneration,"" Mr. Crab first opened his eyes, and then his mouth, to quite a remarkable extent; causing his personal appearance to resemble that of a highly agitated elderly duck in the act of quacking; and in this condition he remained, ever and anon pressing his hands tightly to his forehead, as if in a state of desperate bewilderment until I had nearly made an end of what I had to say.",0
"For a time, I thought that, by watching a complying moment, fostering the still warm ashes, I might relume in her the flame of love.",2
Was one of the party who entered the house.,0
"""And what means are ours, of attaining the truth?",0
"I determined to depart, yet live to leave the world, yet continue to exist in short, to drop enigmas, I resolved, let what would ensue, to force a passage, if I could, to the moon.",0
He asked for my sister; and I delivered her message.,2
A Passer in the Storm For days after that hideous experience in the forest swathed mansion I lay nervously exhausted in my hotel room at Lefferts Corners.,1
"""Have you heard of the unhappy death of the old hunter Berlifitzing?"" said one of his vassals to the Baron, as, after the departure of the page, the huge steed which that nobleman had adopted as his own, plunged and curvetted, with redoubled fury, down the long avenue which extended from the chateau to the stables of Metzengerstein.",0
"I now observed that I had with me an electric lantern and two spades, whilst my companion was supplied with a similar lantern and a portable telephone outfit.",1
"In person, he is short and stout, with large, fat, blue eyes, sandy hair and whiskers, a wide but pleasing mouth, fine teeth, and I think a Roman nose.",0
"He had neither the ennobling self gratulation, which constancy inspires, to console him, nor the voluptuous sense of abandonment to a forbidden, but intoxicating passion.",2
"Shalmanezer, as we have it in holy writings, lay three years before Samaria; yet it fell.",0
"""But is this really the poet?""",0
"Adrian and Idris saw this; they attributed it to my long watching and anxiety; they urged me to rest, and take care of myself, while I most truly assured them, that my best medicine was their good wishes; those, and the assured convalescence of my friend, now daily more apparent.",2
SINCE the world began there have been two Jeremys.,0
"The confusion grew their looks of sorrow changed to mockery; they nodded their heads in time to the music, whose clang became maddening.",2
"Finally the connecting door gave, but with such a crash that I knew those outside must have heard.",1
"Again a furtive trying of a bolted connecting door, and again a receding creaking.",1
"The corpse, I repeat, stirred, and now more vigorously than before.",0
"They filed out of the house with a jerky tread, and as I watched them go I had an odd idea that they were turning toward the ancient cemetery on which the back of the house abutted.",1
The cold is merely nothing.,0
"Very odd and ugly were these beings, as indeed are most beings of a world yet inchoate and rudely fashioned.",1
"When, in the end, my insistent pestering and maturing years evoked from my uncle the hoarded lore I sought, there lay before me a strange enough chronicle.",1
"The ball had entered my shoulder, and I knew not whether it had remained there or passed through; at any rate I had no means of extracting it.",2
We shall make our bed of dried leaves; the sun will shine on us as on man and will ripen our food.,2
"He was like a poet of old whom the muses had crowned in his cradle, and on whose lips bees had fed.",2
He was too much astounded to resist.,0
"Shut in, however, by ice, it was impossible to follow his track, which we had observed with the greatest attention.",2
The chair on which the figure sits is affixed permanently to the box.,0
"Upon reaching the opposite shore, the three passengers stepped out, and had proceeded so far as to be beyond the view of the boat, when the daughter discovered that she had left in it her parasol.",0
But it is even so; the fallen angel becomes a malignant devil.,2
"To observe attentively is to remember distinctly; and, so far, the concentrative chess player will do very well at whist; while the rules of Hoyle themselves based upon the mere mechanism of the game are sufficiently and generally comprehensible.",0
"With angry gestures he leapt from his horse, and seizing a hatchet that hung from his saddle bow, went with the apparent intention of battering down the opposing gate.",2
This indeed was the plague.,2
"""Yes, yes,"" I said, ""yes, yes."" ""You?",0
"She had never been to school, but was filled with disjointed scraps of ancient lore that Old Whateley had taught her.",1
"None of your swaggerers, and nothing at all indelicate in her motions.",0
"Was it not enough that we must die, but toil must be added?",2
"Prompted by some preserving instinct of self defence, I broke through the spell that had hitherto held me immovable, and flung my now dying torch at the creature who menaced my existence.",1
"But neither the presence of her child, nor a subsequent visit from me, could rouse my sister.",2
"Then there came a subdued sort of clatter which somehow set me all in gooseflesh a furtive, groping kind of clatter, though I can't attempt to convey what I mean in words.",1
Pareamo aver qui tutto il ben raccolto Che fra mortali in piu parte si rimembra.,2
"Mothers, kiss you last husbands, protectors no more, lead on the partners of your death Come, O come while the dear ones are yet in sight, for soon they will pass away, and we never never shall join them more.""",2
His limbs were exceedingly long and emaciated.,0
"He had a lot of talk about diet, and said Pickman must be abnormal and eccentric to the last degree.",1
Still I was at a loss to gather the purport of his disconnected speech.,1
"Hope only supported me, the hope that I should not be too late.",2
"Ah, not in knowledge is happiness, but in the acquisition of knowledge In for ever knowing, we are for ever blessed; but to know all were the curse of a fiend.",0
"Besides, there were two voices heard in contention, and one of them was unquestionably the voice of a Frenchman.""",0
The old lady was childish.,0
"That he really knew nothing of the hidden cult, save from what my uncle's relentless catechism had let fall, he soon made clear; and again I strove to think of some way in which he could possibly have received the weird impressions.",1
"If we allow that Madame Rogêt, from her age and grief, could not go over, which is allowing a great deal, there certainly must have been some one who would have thought it worth while to go over and attend the investigation, if they thought the body was that of Marie.",0
"The picture seared into my soul is of one scene only, and the hour must have been long after midnight; for a waning crescent moon was high in the vaporous heavens.",1
"We boys used to overrun the place, and I can still recall my youthful terror not only at the morbid strangeness of this sinister vegetation, but at the eldritch atmosphere and odour of the dilapidated house, whose unlocked front door was often entered in quest of shudders.",1
"Their croaking, baying voices, clearly used for articulate speech, held all the dark shades of expression which their staring faces lacked.",1
"""Great God, what simpletons Shew them Arthur Machen's Great God Pan and they'll think it a common Dunwich scandal But what thing what cursed shapeless influence on or off this three dimensioned earth was Wilbur Whateley's father?",1
"The idea of its being gold never entered their brains, of course; how could such a wild fancy have entered it?",0
"""Tell me, for Heaven's sake,"" I exclaimed, ""the method if method there is by which you have been enabled to fathom my soul in this matter.""",0
In a very few minutes it arrived near enough to be accurately discerned.,0
"He was never to be seen beyond the limits of his own domain, and, in this wide and social world, was utterly companionless unless, indeed, that unnatural, impetuous, and fiery colored horse, which he henceforward continually bestrode, had any mysterious right to the title of his friend.",0
"But the haughty Ex Queen thought as Octavius Caesar and Mark Antony, We could not stall together In the whole world.",2
"Braced up by Elwood's companionship, Gilman attended classes that day.",1
"War and revolution were raging across the seas; a dynasty had collapsed, and its degenerate subjects were flocking with dubious intent to the Western Land.",1
"Raymond had quitted the palace the night before; he had promised to grace the assembly, but he had not yet returned.",2
"For a moment I saw nothing save a myriad of tiny dancing lights, far, far before me.",1
"He also gave me the list of books which I had requested, and I took my leave.",2
"I was very glad of this partial shelter, since at this point the Rowley road was uncomfortably near according to my window view.",1
"Alfred, now nine years old, was an upright, manly little fellow, with radiant brow, soft eyes, and gentle, though independent disposition.",2
Our house was the house of mourning.,2
"""On the spot which I intended each of the smaller casks to occupy respectively during the inflation of the balloon, I privately dug a hole two feet deep; the holes forming in this manner a circle twenty five feet in diameter.",0
"""My son,"" he replied, ""it is still the study of Nosology; but in hitting the Elector upon the nose you have overshot your mark.",0
"As the former proceeded in his discourse, or rather monologue I perceived the excitement of the latter momently increasing.",0
"What of it there remained I will not attempt to define, or even to describe; yet all was not lost.",0
"I knew not the word ""ease.""",0
I fancied that it stood on end with indignation.,0
"Her face was exceedingly round, red, and full; and the same peculiarity, or rather want of peculiarity, attached itself to her countenance, which I before mentioned in the case of the president that is to say, only one feature of her face was sufficiently distinguished to need a separate characterization: indeed the acute Tarpaulin immediately observed that the same remark might have applied to each individual person of the party; every one of whom seemed to possess a monopoly of some particular portion of physiognomy.",0
"All the terror I had dimly felt before rushed upon me actively and vividly, and I knew that I loathed the ancient and abhorrent creature so near me with an infinite intensity.",1
"Wanting the radiant lustre of her eyes, letters, lambent and golden, grew duller than Saturnian lead.",0
A call for the boat to be lowered was echoed from the deck.,2
"Those organic entities whose motions seemed least flagrantly irrelevant and unmotivated were probably projections of life forms from our own planet, including human beings.",1
"""I wonder who she can be?"" ""Why, in the name of all that is angelic, don't you know who she is? 'Not to know her argues yourself unknown.'",0
"His wit, his bon mots, the record of his personal attractions, fascinating manners, and social talents, were long remembered and repeated from mouth to mouth.",2
"I say to my surprise, for, although he had always yielded his person freely to my experiments, he had never before given me any tokens of sympathy with what I did.",0
"To this he objected pleading haste in the first place, and, in the second, a very usual horror at the sight of a lunatic.",0
They give a sarten number o' young folks to the sea things twict every year May Eve an' Hallowe'en reg'lar as cud be.,1
"""LA MUSIQUE,"" says Marmontel, in those ""Contes Moraux"" which in all our translations, we have insisted upon calling ""Moral Tales,"" as if in mockery of their spirit ""la musique est le seul des talents qui jouissent de lui meme; tous les autres veulent des temoins.""",0
"Let us examine, each by each, the possible means of egress.",0
"He could not, I reflected, be so weak as not to see that the most intricate and remote recess of his hotel would be as open as his commonest closets to the eyes, to the probes, to the gimlets, and to the microscopes of the Prefect.",0
"Perdita presented her to Raymond; her first words were: ""Beloved, embrace our child"" ""Come hither, sweet one,"" said her father, ""do you not know me?"" she knew his voice, and cast herself in his arms with half bashful but uncontrollable emotion.",2
"The chamber was full but there was no Protector; and there was an austere discontent manifest on the countenances of the leaders, and a whispering and busy tattle among the underlings, not less ominous.",2
"My rage was without bounds; I sprang on him, impelled by all the feelings which can arm one being against the existence of another.",2
This idea was intolerably painful to him.,2
"Why should he lose this, now that added years, prudence, and the pledge which his marriage gave to his country, ought to encrease, rather than diminish his claims to confidence?",2
"""Upon honor,"" said I. ""Nose and all?"" she asked.",0
"My ideas on this topic had also received confirmation by a passage in the eighty second volume of the Philosophical Transactions, in which it is stated that at an occultation of Jupiter's satellites, the third disappeared after having been about "" or "" of time indistinct, and the fourth became indiscernible near the limb.",0
Who deserved the hand of this self exalted king more than she whose glance belonged to a queen of nations?,2
"The creatures are always going off at a tangent into some fantastic employment, or ridiculous speculation, entirely at variance with the ""fitness of things,"" and having no business whatever to be considered as a business at all.",0
The debate had ended at three in the morning.,2
"In his dream he had heard a scratching and gnawing in the partitions, and thought that someone fumbled clumsily at the latch.",1
"Posterity is no more; fame, and ambition, and love, are words void of meaning; even as the cattle that grazes in the field, do thou, O deserted one, lie down at evening tide, unknowing of the past, careless of the future, for from such fond ignorance alone canst thou hope for ease Joy paints with its own colours every act and thought.",2
"In this dilemma I had recourse to paternal aid; and, after some hours of mature thought, my father and myself thus constructed the poem: ""To pen an Ode upon the ""Oil of Bob"" Is all sorts of a job.",0
"The whole page was blotted with fresh tears; and, upon the opposite interleaf, were the following English lines, written in a hand so very different from the peculiar characters of my acquaintance, that I had some difficulty in recognising it as his own: Thou wast that all to me, love, For which my soul did pine A green isle in the sea, love, A fountain and a shrine, All wreathed with fairy fruits and flowers; And all the flowers were mine.",0
"""Since you have preserved my narration,"" said he, ""I would not that a mutilated one should go down to posterity.""",2
"""Sure nuff, massa; mus look.",0
"They did not see that good and evil and beauty and ugliness are only ornamental fruits of perspective, whose sole value lies in their linkage to what chance made our fathers think and feel, and whose finer details are different for every race and culture.",1
"Pausing only long enough to look at two fine but ruinous old churches at Main and Church Streets, I hastened out of that vile waterfront slum.",1
"The president, however, was the first to recover his composure, and at length, turning to Legs with great dignity, recommenced: ""Most willingly will we gratify any reasonable curiosity on the part of guests so illustrious, unbidden though they be.",0
"""The graoun' was a talkin' lass night, an' towards mornin' Cha'ncey he heerd the whippoorwills so laoud in Col' Spring Glen he couldn't sleep nun.",1
There is no trace or tidings of her at all....,0
"Having effected the reunion of Raymond and Perdita, I was eager to return to England; but his earnest request, added to awakening curiosity, and an indefinable anxiety to behold the catastrophe, now apparently at hand, in the long drawn history of Grecian and Turkish warfare, induced me to consent to prolong until the autumn, the period of my residence in Greece.",2
"In the meantime I kept my eyes riveted on Madame Lalande, and at length had the good fortune to obtain a full front view of her face.",0
"But again when I reflected that they had spurned and deserted me, anger returned, a rage of anger, and unable to injure anything human, I turned my fury towards inanimate objects.",2
Next day he would make some very guarded inquiries and perhaps see the nerve specialist.,1
He would have to consult a nerve specialist after all perhaps there was a connexion with his somnambulism but meanwhile he might at least try to break the morbid spell himself.,1
"In my situation it is really a great relief to be able to open ones mouth to be able to expatiate to be able to communicate with a person like yourself, who do not think yourself called upon at every period to interrupt the thread of a gentleman's discourse.",0
"""The government of France were greatly enraged at the escape of their victim and spared no pains to detect and punish his deliverer.",2
"Carefully locking the door on the inside, I commenced a vigorous search.",0
"I cannot express the wild, breathless suspense with which we waited for results on this first really fresh specimen the first we could reasonably expect to open its lips in rational speech, perhaps to tell of what it had seen beyond the unfathomable abyss.",1
"In the spring of Jonathan Gifford, the Albany friend of Jan Martense, became worried by his correspondent's silence; especially in view of the conditions and quarrels at the Martense mansion.",1
To the uttermost regions of the globe have not the indignant winds bruited its unparalleled infamy?,0
"And, indeed, I had now every reason to be terrified.",0
"Their outlines were human, semi human, fractionally human, and not human at all the horde was grotesquely heterogeneous.",1
"This circumstance was not without effect on West, who thought often of the irony of the situation so many fresh specimens, yet none for his persecuted researches We were frightfully overworked, and the terrific mental and nervous strain made my friend brood morbidly.",1
"The younger seaman was, in all outward appearance, the converse of his companion.",0
It was a mystery all insoluble; nor could I grapple with the shadowy fancies that crowded upon me as I pondered.,0
The saintly soul of Elizabeth shone like a shrine dedicated lamp in our peaceful home.,2
"After dinner, however, when you have sufficiently recovered from the fatigue of your ride, I will be happy to take you over the house, and introduce to you a system which, in my opinion, and in that of every one who has witnessed its operation, is incomparably the most effectual as yet devised.""",0
A word with any outsider was a relief to him.,1
"Galpin now devoted his time to the library and lecture platform, preparing volumes and speeches on various subjects connected with belles lettres, and always shewing a genius so remarkable that it seemed as if the public must sometime pardon him for his past mistakes.",1
"And though the century which has since elapsed, and whose conclusion brings us thus together once more, tortured our slumbering senses with no impatience of duration, yet, my Monos, it was a century still.",0
"It is rumoured in Ulthar, beyond the river Skai, that a new king reigns on the opal throne in Ilek Vad, that fabulous town of turrets atop the hollow cliffs of glass overlooking the twilight sea wherein the bearded and finny Gnorri build their singular labyrinths, and I believe I know how to interpret this rumour.",1
"Each night I returned to the Castle, and found there repose and love awaiting me.",2
"We have, for example, a metal, a piece of wood, a drop of water, the atmosphere, a gas, caloric, electricity, the luminiferous ether.",0
"P. Is God, then, material?",0
We mean you no harm whatever.,0
"The result was a firm conviction of their validity, and of the consequent innocence of St. Eustache.",0
It was an egregious insult to the good sense of the burghers of Rotterdam.,0
"I now considered that, provided in my passage I found the medium I had imagined, and provided that it should prove to be actually and essentially what we denominate atmospheric air, it could make comparatively little difference at what extreme state of rarefaction I should discover it that is to say, in regard to my power of ascending for the gas in the balloon would not only be itself subject to rarefaction partially similar in proportion to the occurrence of which, I could suffer an escape of so much as would be requisite to prevent explosion, but, being what it was, would, at all events, continue specifically lighter than any compound whatever of mere nitrogen and oxygen.",0
"When he had in some measure recovered, I removed him to my own cabin and attended on him as much as my duty would permit.",2
"The walls, with one exception, had fallen in.",0
"I wished, as it were, to procrastinate all that related to my feelings of affection until the great object, which swallowed up every habit of my nature, should be completed.",2
"As the White Ship sailed silently away from the templed terraces of Zar, we beheld on the distant horizon ahead the spires of a mighty city; and the bearded man said to me: ""This is Thalarion, the City of a Thousand Wonders, wherein reside all those mysteries that man has striven in vain to fathom.""",1
"As a result, these societies became surprisingly passive and reticent.",1
The terror which brought me to the scene was a sudden and portentous confirmation of the mountaineers' wildest legends.,1
It was at nine o'clock in the morning.,0
Yog Sothoth knows the gate.,1
"I was a mere skeleton, and fever night and day preyed upon my wasted frame.",2
He has never ascended the summit of a hill.,0
"Dog Street"" By the thirty first day of the month, this advertisement has brought to the office of Messrs. Bogs, Hogs, Logs, Frogs, and Company, some fifteen or twenty young gentlemen piously inclined.",0
"Some of these, as he detailed them, interested and bewildered me; although, perhaps, the terms, and the general manner of the narration had their weight.",0
"Should I return to the Castle, to my wife and children, with this taint upon me?",2
Erringly and strangely she began the task of self examination with self condemnation.,2
"It should be a solitary house on a wide plain near no other habitation: where I could behold the whole horizon, and wander far without molestation from the sight of my fellow creatures.",2
"Besides, his Grace hated a scene De L'Omelette is himself again.",0
During the next few days Gilman enjoyed an almost perfect immunity from morbid manifestations.,1
The cellars of the chateau were well stocked with wine; and these madmen are just the devils that know how to drink it.,0
"He cut himself off hurriedly, and no amount of persuasion or subtlety could elicit more in this direction.",1
"""One word more concerning unkind, unjust Perdita.",2
This account may be taken as a sample of my intercourse with Lord Raymond.,2
"His teeth, however, were like pearl, and his large full eyes were deliciously white.",0
Know you not how the secret of Alchemy was solved?,1
"I could not however at that time feel remorse, for methought I was born anew; my soul threw off the burthen of past sin, to commence a new career in innocence and love.",2
"It was a solid structure, with massy door, sooner than open which in the absence of the ""Dominic,"" we would all have willingly perished by the peine forte et dure.",0
"Of what followed, members of ""The Greatest Show on Earth"" do not like to speak.",1
But success SHALL crown my endeavours.,2
"The rays of the newly risen sun poured in upon the whole, through windows, formed each of a single pane of crimson tinted glass.",0
"Slowly, amidst the distorted horrors of that indescribable scene, she began to churn the lethal waters; whilst on the masonry of that charnel shore that was not of earth the titan Thing from the stars slavered and gibbered like Polypheme cursing the fleeing ship of Odysseus.",1
"I had been lying with my face away from my uncle's chair, so that in this sudden flash of awakening I saw only the door to the street, the more northerly window, and the wall and floor and ceiling toward the north of the room, all photographed with morbid vividness on my brain in a light brighter than the glow of the fungi or the rays from the street outside.",1
"One eye was blue, the other brown.",1
"Justine also was a girl of merit and possessed qualities which promised to render her life happy; now all was to be obliterated in an ignominious grave, and I the cause A thousand times rather would I have confessed myself guilty of the crime ascribed to Justine, but I was absent when it was committed, and such a declaration would have been considered as the ravings of a madman and would not have exculpated her who suffered through me.",2
"Seize him and unmask him that we may know whom we have to hang at sunrise, from the battlements"" It was in the eastern or blue chamber in which stood the Prince Prospero as he uttered these words.",0
"My health and appearance grew steadily worse, till finally I was forced to give up my position and adopt the static, secluded life of an invalid.",1
"Our progress downward, at each revolution, was slow, but very perceptible.",0
"It was not will that she wanted, but the capacity; again and again she declared, it were as easy to enchain the sea, to put reins on the wind's viewless courses, as for her to take truth for falsehood, deceit for honesty, heartless communion for sincere, confiding love.",2
"I saw from the beginning that he was both interested and sympathetic, and when I had finished he analysed and discussed the thing with the greatest shrewdness and judgment.",1
"Rushing then with all his force against the fatal hogshead full of October ale and Hugh Tarpaulin, he rolled it over and over in an instant.",0
"He, at length, became so obstreperous that we grew fearful of his giving the alarm to some stragglers in the vicinity; or, rather, this was the apprehension of Legrand; for myself, I should have rejoiced at any interruption which might have enabled me to get the wanderer home.",0
"I saw the blurred outlines of the room, but from some point in space there seemed to be pouring a seething column of unrecognisable shapes or clouds, penetrating the solid roof at a point ahead and to the right of me.",1
"With a too unscrupulous confidence she had previously communicated to me the secret of the costume in which she would be habited, and now, having caught a glimpse of her person, I was hurrying to make my way into her presence.",0
"If infection depended upon the air, the air was subject to infection.",2
"""You explored the floors beneath the carpets?"" ""Beyond doubt.",0
"No, my Raymond, my only beloved, sole possession of Perdita This night, this splendid assembly, these sumptuous apartments, and this adornment of your tearful girl, are all united to celebrate your abdication.",2
"Mont Blanc, the supreme and magnificent Mont Blanc, raised itself from the surrounding aiguilles, and its tremendous dome overlooked the valley.",2
"""The relatives of the Earl of Windsor,"" said she haughtily, ""doubtless think that I injured him; perhaps the Earl himself would be the first to acquit me, but probably I do not deserve acquittal.",2
"I have looked upon all that the universe has to hold of horror, and even the skies of spring and the flowers of summer must ever afterward be poison to me.",1
Hence that positive appetite for system and regularity which has made me the distinguished man of business that I am.,0
"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",2
"I did not expect it, either, for I thought I was thoroughly forewarned regarding what the jewellery would turn out to be.",1
Her voice was suffocated with sobs.,2
We perpetually made excursions together.,2
"But neither this assurance, nor the speedy convalescence of our child could restore her, even to the portion of peace she before enjoyed.",2
"Now, the mean or average interval between the centres of the two planets is . of the earth's equatorial radii, or only about , miles.",0
